,ASIAN,BLACK,HISPANIC,WHITE
2009,0.587,0.523,0.835,1.057
2010,0.593,0.443,0.855,1.062
2011,0.582,0.438,0.856,1.064
2012,0.571,0.422,0.824,1.068
2013,0.508,0.416,0.839,1.074
2014,0.485,0.438,0.775,1.076
2015,0.584,0.437,0.806,1.072
2016,0.711,0.426,0.776,1.069
2017,0.533,0.417,0.732,1.085
2018,0.559,0.368,0.735,1.092
