Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.587,0.593,0.582,0.571,0.508,0.485,0.584,0.711,0.533,0.559
BLACK,0.523,0.443,0.438,0.422,0.416,0.438,0.437,0.426,0.417,0.368
HISPANIC,0.835,0.855,0.856,0.824,0.839,0.775,0.806,0.776,0.732,0.735
WHITE,1.057,1.062,1.064,1.068,1.074,1.076,1.072,1.069,1.085,1.092
