Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,1.365,1.215,0.694,0.316,0.377,0.412,0.373,0.355,0.408,0.428
BLACK,0.58,0.509,0.444,0.551,0.617,0.596,0.557,0.663,0.55,0.606
HISPANIC,1.042,0.854,0.781,0.469,0.629,0.771,0.788,0.875,0.672,0.626
WHITE,1.023,1.024,1.01,1.035,1.037,1.026,1.042,1.029,1.049,1.059
