Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.33,0.276,0.212,0.284,0.337,0.353,0.335,0.332,0.359,0.382
BLACK,0.417,0.406,0.508,0.448,0.382,0.381,0.368,0.528,0.435,0.359
HISPANIC,0.997,1.142,2.024,0.89,0.836,0.851,0.951,0.909,1.066,0.834
WHITE,1.126,1.124,1.091,1.133,1.156,1.169,1.164,1.131,1.158,1.189
