Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.865,1.017,0.37,0.577,0.55,1.114,1.08,1.099,1.241,1.125
BLACK,0.379,0.359,0.102,0.132,0.133,0.358,0.462,0.331,0.294,0.303
HISPANIC,0.679,0.835,0.11,0.089,0.104,0.808,0.675,0.632,0.721,0.857
WHITE,1.116,1.105,1.191,1.204,1.205,1.117,1.105,1.136,1.152,1.157
