,ASIAN,BLACK,HISPANIC,WHITE
2009,0.865,0.379,0.679,1.116
2010,1.017,0.359,0.835,1.105
2011,0.37,0.102,0.11,1.191
2012,0.577,0.132,0.089,1.204
2013,0.55,0.133,0.104,1.205
2014,1.114,0.358,0.808,1.117
2015,1.08,0.462,0.675,1.105
2016,1.099,0.331,0.632,1.136
2017,1.241,0.294,0.721,1.152
2018,1.125,0.303,0.857,1.157
