Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.308,0.32,0.413,0.234,0.252,0.108,0.281,0.342,0.28,0.295
BLACK,0.0,0.0,0.373,0.811,0.677,0.597,0.511,0.693,0.403,0.662
HISPANIC,1.299,0.44,0.918,0.389,1.454,0.76,0.404,0.561,0.621,0.42
WHITE,1.025,1.037,1.027,1.034,1.023,1.037,1.04,1.044,1.047,1.071
