Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.786,0.938,0.959,0.863,0.875,0.638,0.745,0.761,0.71,1.041
BLACK,0.433,0.409,0.412,0.398,0.398,0.406,0.437,0.432,0.37,0.326
HISPANIC,1.146,1.121,1.208,0.906,1.177,0.918,0.77,0.714,0.825,0.57
WHITE,1.034,1.032,1.03,1.042,1.038,1.054,1.055,1.06,1.065,1.06
