,ASIAN,BLACK,HISPANIC,WHITE
2009,0.786,0.433,1.146,1.034
2010,0.938,0.409,1.121,1.032
2011,0.959,0.412,1.208,1.03
2012,0.863,0.398,0.906,1.042
2013,0.875,0.398,1.177,1.038
2014,0.638,0.406,0.918,1.054
2015,0.745,0.437,0.77,1.055
2016,0.761,0.432,0.714,1.06
2017,0.71,0.37,0.825,1.065
2018,1.041,0.326,0.57,1.06
