,ASIAN,BLACK,HISPANIC,WHITE
2009,0.47,0.326,0.908,1.269
2010,0.478,0.331,0.882,1.263
2011,0.484,0.342,0.867,1.26
2012,0.443,0.352,0.893,1.267
2013,0.455,0.313,0.759,1.292
2014,0.485,0.32,0.749,1.301
2015,0.5,0.359,0.851,1.289
2016,0.554,0.353,0.835,1.292
2017,0.538,0.342,0.913,1.304
2018,0.552,0.353,0.903,1.331
