Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.47,0.478,0.484,0.443,0.455,0.485,0.5,0.554,0.538,0.552
BLACK,0.326,0.331,0.342,0.352,0.313,0.32,0.359,0.353,0.342,0.353
HISPANIC,0.908,0.882,0.867,0.893,0.759,0.749,0.851,0.835,0.913,0.903
WHITE,1.269,1.263,1.26,1.267,1.292,1.301,1.289,1.292,1.304,1.331
