Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.301,0.307,0.321,0.315,0.332,0.338,0.35,0.419,0.401,0.423
BLACK,0.297,0.332,0.35,0.356,0.387,0.41,0.391,0.387,0.361,0.365
HISPANIC,0.556,0.629,0.588,0.556,0.595,0.632,0.576,1.49,0.52,0.574
WHITE,1.141,1.141,1.145,1.152,1.148,1.15,1.156,1.111,1.172,1.173
