Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.25,0.282,0.31,0.306,0.307,0.366,0.309,0.32,0.358,0.383
BLACK,0.325,0.376,0.355,0.327,0.36,0.335,0.283,0.291,0.31,0.304
HISPANIC,0.426,0.661,0.4,0.353,0.375,0.345,0.405,0.337,0.382,0.326
WHITE,1.211,1.181,1.2,1.21,1.215,1.226,1.248,1.259,1.255,1.267
