,ASIAN,BLACK,HISPANIC,WHITE
2009,0.372,0.309,0.364,1.314
2010,0.385,0.303,0.379,1.311
2011,0.377,0.311,0.437,1.318
2012,0.383,0.287,0.399,1.329
2013,0.397,0.306,0.427,1.322
2014,0.419,0.378,0.451,1.308
2015,0.437,0.374,0.461,1.311
2016,0.474,0.351,0.506,1.3
2017,0.478,0.372,0.506,1.311
2018,0.514,0.381,0.535,1.31
