Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.372,0.385,0.377,0.383,0.397,0.419,0.437,0.474,0.478,0.514
BLACK,0.309,0.303,0.311,0.287,0.306,0.378,0.374,0.351,0.372,0.381
HISPANIC,0.364,0.379,0.437,0.399,0.427,0.451,0.461,0.506,0.506,0.535
WHITE,1.314,1.311,1.318,1.329,1.322,1.308,1.311,1.3,1.311,1.31
