Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.374,0.366,0.301,0.341,0.319,0.383,0.302,0.358,0.315,0.431
BLACK,0.256,0.22,0.247,0.415,0.4,0.326,0.38,0.306,0.24,0.295
HISPANIC,0.619,0.668,0.502,0.968,0.895,0.42,0.56,0.615,0.611,0.578
WHITE,1.077,1.082,1.095,1.073,1.088,1.123,1.122,1.119,1.131,1.15
