Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.392,0.436,0.439,0.454,0.548,0.528,0.542,0.542,0.514,0.478
BLACK,0.35,0.338,0.326,0.312,0.358,0.388,0.32,0.334,0.32,0.337
HISPANIC,0.923,1.635,0.902,0.811,1.011,1.063,0.964,0.933,0.898,0.798
WHITE,1.107,1.101,1.117,1.118,1.105,1.103,1.119,1.12,1.135,1.146
