,ASIAN,BLACK,HISPANIC,WHITE
2009,0.506,0.442,0.87,1.039
2010,0.531,0.447,1.08,1.034
2011,0.56,0.468,0.964,1.036
2012,0.371,0.453,0.782,1.049
2013,0.372,0.471,0.755,1.051
2014,0.356,0.626,0.744,1.049
2015,0.342,0.51,0.761,1.057
2016,0.35,0.603,0.689,1.06
2017,0.401,0.521,0.695,1.06
2018,0.391,0.529,0.768,1.06
