Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.506,0.531,0.56,0.371,0.372,0.356,0.342,0.35,0.401,0.391
BLACK,0.442,0.447,0.468,0.453,0.471,0.626,0.51,0.603,0.521,0.529
HISPANIC,0.87,1.08,0.964,0.782,0.755,0.744,0.761,0.689,0.695,0.768
WHITE,1.039,1.034,1.036,1.049,1.051,1.049,1.057,1.06,1.06,1.06
