,ASIAN,BLACK,HISPANIC,WHITE
2009,0.327,0.783,0.816,1.476
2010,0.354,0.849,0.859,1.465
2011,0.341,0.824,0.833,1.5
2012,0.359,0.763,0.769,1.507
2013,0.357,0.869,0.854,1.496
2014,0.344,0.864,0.983,1.481
2015,0.374,0.833,0.868,1.501
2016,0.389,0.909,0.924,1.482
2017,0.394,0.888,0.83,1.528
2018,0.437,0.871,0.86,1.496
