Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.327,0.354,0.341,0.359,0.357,0.344,0.374,0.389,0.394,0.437
BLACK,0.783,0.849,0.824,0.763,0.869,0.864,0.833,0.909,0.888,0.871
HISPANIC,0.816,0.859,0.833,0.769,0.854,0.983,0.868,0.924,0.83,0.86
WHITE,1.476,1.465,1.5,1.507,1.496,1.481,1.501,1.482,1.528,1.496
