Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.395,0.388,0.347,0.377,0.374,0.401,0.392,0.321,0.368,0.453
BLACK,0.26,0.277,0.331,0.34,0.279,0.26,0.317,0.305,0.274,0.325
HISPANIC,0.906,0.82,0.891,0.918,0.875,0.8,0.809,0.817,0.781,0.791
WHITE,1.149,1.162,1.154,1.156,1.174,1.204,1.211,1.236,1.274,1.25
