Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.403,0.441,0.399,0.401,0.462,0.457,0.41,0.481,0.439,0.473
BLACK,0.794,1.096,0.58,0.579,0.472,0.6,0.377,0.43,0.434,0.455
HISPANIC,0.672,0.691,0.732,0.657,0.726,0.687,0.804,0.707,0.684,0.667
WHITE,1.148,1.128,1.145,1.171,1.172,1.172,1.203,1.195,1.235,1.225
