,ASIAN,BLACK,HISPANIC,WHITE
2009,0.403,0.794,0.672,1.148
2010,0.441,1.096,0.691,1.128
2011,0.399,0.58,0.732,1.145
2012,0.401,0.579,0.657,1.171
2013,0.462,0.472,0.726,1.172
2014,0.457,0.6,0.687,1.172
2015,0.41,0.377,0.804,1.203
2016,0.481,0.43,0.707,1.195
2017,0.439,0.434,0.684,1.235
2018,0.473,0.455,0.667,1.225
