Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.423,0.454,0.435,0.422,0.414,0.431,0.443,0.436,0.456,0.509
BLACK,0.617,0.561,0.595,0.546,0.476,0.513,0.598,0.519,0.484,0.641
HISPANIC,0.875,0.758,0.77,1.343,0.792,0.759,0.688,0.72,0.717,0.801
WHITE,1.085,1.085,1.086,1.083,1.111,1.108,1.108,1.122,1.127,1.107
