Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.27,0.245,0.253,0.285,0.275,0.291,0.304,0.308,0.313,0.279
BLACK,0.426,0.397,0.356,0.302,0.315,0.299,0.318,0.288,0.755,0.317
HISPANIC,0.726,0.833,0.822,0.822,0.899,0.686,0.724,0.705,0.722,0.639
WHITE,1.069,1.072,1.077,1.079,1.081,1.086,1.092,1.1,1.081,1.115
