Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.394,0.333,0.361,0.448,0.347,0.346,0.321,0.281,0.32,0.321
BLACK,0.211,0.24,0.251,0.314,0.289,0.284,0.264,0.328,0.307,0.263
HISPANIC,0.813,0.777,0.708,0.763,0.732,0.806,0.956,0.493,0.563,0.546
WHITE,1.045,1.045,1.049,1.046,1.053,1.057,1.06,1.077,1.078,1.088
