Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.265,0.274,0.356,0.305,0.327,0.312,0.284,0.295,0.307,0.359
BLACK,0.756,0.634,0.664,0.69,0.688,0.703,0.77,0.688,0.771,0.793
HISPANIC,0.656,0.643,0.842,0.625,0.664,0.605,0.699,0.578,0.664,0.602
WHITE,1.108,1.109,1.097,1.117,1.115,1.125,1.13,1.145,1.143,1.178
