Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.3,0.291,0.296,0.291,0.325,0.309,0.318,0.326,0.336,0.325
BLACK,0.534,0.582,0.601,0.644,0.593,0.586,0.527,0.556,0.541,0.651
HISPANIC,0.805,0.761,0.999,1.089,0.812,0.677,0.639,0.662,0.639,0.659
WHITE,1.162,1.174,1.163,1.174,1.188,1.209,1.226,1.241,1.271,1.287
