,ASIAN,BLACK,HISPANIC,WHITE
2009,0.31,0.429,1.074,1.16
2010,0.231,0.425,1.669,1.159
2011,0.299,0.444,1.538,1.151
2012,0.353,0.556,1.295,1.127
2013,0.298,0.527,0.793,1.141
2014,0.368,0.541,0.981,1.15
2015,0.419,0.483,1.057,1.169
2016,0.529,0.443,0.78,1.186
2017,0.596,0.467,1.048,1.179
2018,0.981,0.452,0.879,1.172
