Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.443,0.384,0.419,0.448,0.488,0.509,0.504,0.643,0.61,0.654
BLACK,0.389,0.474,0.446,0.457,0.452,0.4,0.402,0.401,0.413,0.424
HISPANIC,0.473,0.539,0.53,0.591,0.625,0.582,0.554,0.545,0.579,0.529
WHITE,1.242,1.237,1.238,1.222,1.211,1.224,1.239,1.205,1.224,1.224
