Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.244,0.25,0.286,0.255,0.275,0.268,0.275,0.334,0.308,0.368
BLACK,0.303,0.328,0.316,0.302,0.316,0.321,0.323,0.363,0.324,0.329
HISPANIC,0.606,0.642,0.616,0.6,0.578,0.604,0.602,0.68,0.553,0.592
WHITE,1.297,1.294,1.303,1.327,1.338,1.374,1.39,1.373,1.453,1.429
