,ASIAN,BLACK,HISPANIC,WHITE
2009,0.244,0.303,0.606,1.297
2010,0.25,0.328,0.642,1.294
2011,0.286,0.316,0.616,1.303
2012,0.255,0.302,0.6,1.327
2013,0.275,0.316,0.578,1.338
2014,0.268,0.321,0.604,1.374
2015,0.275,0.323,0.602,1.39
2016,0.334,0.363,0.68,1.373
2017,0.308,0.324,0.553,1.453
2018,0.368,0.329,0.592,1.429
