Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.337,0.345,0.439,0.437,0.43,0.372,0.395,0.384,0.354,0.389
BLACK,0.553,0.362,0.69,0.481,0.415,0.286,0.226,0.329,0.487,0.401
HISPANIC,0.45,0.567,0.531,0.527,0.477,0.542,0.527,0.705,0.464,0.591
WHITE,1.056,1.056,1.053,1.055,1.062,1.072,1.079,1.067,1.087,1.087
