Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.331,0.316,0.323,0.316,0.328,0.377,0.349,0.489,0.384,0.433
BLACK,0.389,0.403,0.397,0.373,0.385,0.38,0.358,0.378,0.417,0.398
HISPANIC,0.815,0.835,0.815,0.794,0.817,0.821,0.81,0.795,0.772,0.788
WHITE,1.099,1.099,1.102,1.106,1.108,1.105,1.114,1.106,1.117,1.142
