Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.38,0.385,0.383,0.375,0.398,0.415,0.416,0.487,0.449,0.475
BLACK,0.4,0.41,0.391,0.392,0.384,0.41,0.41,0.406,0.403,0.409
HISPANIC,0.697,0.732,0.692,0.675,0.655,0.669,0.756,0.711,0.659,0.642
WHITE,1.174,1.172,1.182,1.189,1.194,1.193,1.192,1.192,1.216,1.226
