,ASIAN,BLACK,HISPANIC,WHITE
2009,0.38,0.4,0.697,1.174
2010,0.385,0.41,0.732,1.172
2011,0.383,0.391,0.692,1.182
2012,0.375,0.392,0.675,1.189
2013,0.398,0.384,0.655,1.194
2014,0.415,0.41,0.669,1.193
2015,0.416,0.41,0.756,1.192
2016,0.487,0.406,0.711,1.192
2017,0.449,0.403,0.659,1.216
2018,0.475,0.409,0.642,1.226
