,ASIAN,BLACK,HISPANIC,WHITE
2009,0.148,0.388,1.333,1.008
2010,0.158,0.554,1.006,1.009
2011,0.194,0.349,1.079,1.02
2012,0.34,0.277,0.718,1.024
2013,0.324,0.697,0.812,1.023
2014,0.0,0.299,1.331,1.035
2015,0.239,1.373,1.615,0.988
2016,0.166,0.0,0.799,1.035
2017,0.287,0.0,0.735,1.041
2018,0.258,0.0,1.235,1.037
