Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.148,0.158,0.194,0.34,0.324,0.0,0.239,0.166,0.287,0.258
BLACK,0.388,0.554,0.349,0.277,0.697,0.299,1.373,0.0,0.0,0.0
HISPANIC,1.333,1.006,1.079,0.718,0.812,1.331,1.615,0.799,0.735,1.235
WHITE,1.008,1.009,1.02,1.024,1.023,1.035,0.988,1.035,1.041,1.037
