Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.32,0.307,0.308,0.318,0.364,0.402,0.323,0.364,0.337,0.344
BLACK,0.786,0.927,0.647,0.774,0.547,0.408,0.509,0.355,0.424,0.579
HISPANIC,1.044,0.717,1.743,0.743,0.894,0.926,0.796,0.923,0.729,0.721
WHITE,1.036,1.042,1.034,1.047,1.049,1.047,1.055,1.053,1.062,1.058
