Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.329,0.341,0.327,0.339,0.346,0.362,0.412,1.666,0.447,0.546
BLACK,0.428,0.283,0.323,0.334,0.353,0.396,0.38,0.295,0.374,0.386
HISPANIC,0.339,0.39,0.448,0.513,0.481,0.489,0.457,0.335,0.418,0.408
WHITE,1.279,1.281,1.259,1.265,1.273,1.268,1.255,0.955,1.262,1.229
