Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.825,0.987,0.706,0.765,0.685,0.722,0.63,0.605,0.603,0.392
BLACK,0.0,0.0,0.0,0.744,1.001,0.0,0.0,0.0,0.0,0.654
HISPANIC,0.873,2.241,1.358,0.882,0.415,3.195,0.855,0.382,0.635,0.617
WHITE,1.009,0.999,1.007,1.012,1.023,0.985,1.015,1.022,1.023,1.029
