Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.326,0.334,0.383,0.363,0.396,0.426,0.466,0.499,0.491,0.561
BLACK,0.444,0.437,0.401,0.433,0.398,0.419,0.46,0.437,0.446,0.451
HISPANIC,0.855,0.814,0.781,0.792,0.777,0.794,0.787,0.753,0.827,0.74
WHITE,1.249,1.252,1.256,1.252,1.265,1.263,1.249,1.254,1.257,1.255
