Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.162,0.164,0.155,0.198,0.228,0.249,0.237,0.24,0.252,0.291
BLACK,0.42,0.4,0.421,0.436,0.504,0.471,0.493,0.447,0.482,0.472
HISPANIC,0.719,0.675,0.681,0.756,0.663,0.619,0.785,0.866,0.608,0.599
WHITE,1.354,1.381,1.38,1.367,1.376,1.407,1.357,1.377,1.464,1.483
