Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.396,0.326,0.362,0.364,0.38,0.373,0.379,0.37,0.387,0.37
BLACK,0.516,0.513,0.515,0.516,0.541,0.622,0.544,0.543,0.611,0.558
HISPANIC,0.827,0.91,0.904,1.007,0.824,0.86,0.785,0.848,0.817,0.949
WHITE,1.195,1.204,1.19,1.204,1.224,1.236,1.266,1.275,1.286,1.289
