Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.183,0.192,0.25,0.27,0.299,0.327,0.387,0.232,0.288,0.37
BLACK,0.433,0.346,0.52,0.592,0.501,0.588,0.629,0.687,0.621,0.543
HISPANIC,0.699,1.149,2.144,1.531,1.559,1.635,0.698,0.924,1.388,0.648
WHITE,1.031,1.029,1.016,1.02,1.02,1.02,1.027,1.029,1.028,1.039
