Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.292,0.292,0.277,0.305,0.295,0.35,0.436,0.499,0.347,0.354
BLACK,0.322,0.356,0.318,0.349,0.339,0.309,0.53,0.559,0.383,0.33
HISPANIC,0.762,0.89,0.874,0.811,0.851,0.659,0.821,0.901,0.558,0.541
WHITE,1.038,1.033,1.038,1.038,1.039,1.044,1.035,1.035,1.058,1.059
