,ASIAN,BLACK,HISPANIC,WHITE
2009,0.292,0.322,0.762,1.038
2010,0.292,0.356,0.89,1.033
2011,0.277,0.318,0.874,1.038
2012,0.305,0.349,0.811,1.038
2013,0.295,0.339,0.851,1.039
2014,0.35,0.309,0.659,1.044
2015,0.436,0.53,0.821,1.035
2016,0.499,0.559,0.901,1.035
2017,0.347,0.383,0.558,1.058
2018,0.354,0.33,0.541,1.059
