Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.381,0.374,0.37,0.384,0.413,0.426,0.453,0.64,0.517,0.515
BLACK,0.36,0.366,0.368,0.372,0.374,0.412,0.395,0.369,0.362,0.432
HISPANIC,0.667,0.712,0.755,0.607,0.625,0.643,0.648,0.619,0.67,0.672
WHITE,1.221,1.225,1.226,1.238,1.238,1.234,1.243,1.228,1.262,1.269
