,ASIAN,BLACK,HISPANIC,WHITE
2009,0.381,0.36,0.667,1.221
2010,0.374,0.366,0.712,1.225
2011,0.37,0.368,0.755,1.226
2012,0.384,0.372,0.607,1.238
2013,0.413,0.374,0.625,1.238
2014,0.426,0.412,0.643,1.234
2015,0.453,0.395,0.648,1.243
2016,0.64,0.369,0.619,1.228
2017,0.517,0.362,0.67,1.262
2018,0.515,0.432,0.672,1.269
