,ASIAN,BLACK,HISPANIC,WHITE
2009,0.288,0.366,0.645,1.354
2010,0.33,0.382,0.696,1.346
2011,0.346,0.387,0.62,1.373
2012,0.329,0.409,1.062,1.335
2013,0.334,0.409,0.641,1.395
2014,0.412,0.372,0.562,1.322
2015,0.393,0.353,0.581,1.35
2016,0.539,0.382,0.582,1.3
2017,0.427,0.4,1.051,1.296
2018,0.505,0.394,0.628,1.409
