Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.288,0.33,0.346,0.329,0.334,0.412,0.393,0.539,0.427,0.505
BLACK,0.366,0.382,0.387,0.409,0.409,0.372,0.353,0.382,0.4,0.394
HISPANIC,0.645,0.696,0.62,1.062,0.641,0.562,0.581,0.582,1.051,0.628
WHITE,1.354,1.346,1.373,1.335,1.395,1.322,1.35,1.3,1.296,1.409
