Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.286,0.33,0.338,0.307,0.325,0.295,0.27,0.282,0.312,0.31
BLACK,0.266,0.213,0.213,0.229,0.224,0.183,0.243,0.261,0.294,0.254
HISPANIC,0.511,0.455,0.472,0.46,0.464,0.495,0.509,0.498,0.518,0.512
WHITE,1.33,1.342,1.358,1.378,1.396,1.43,1.463,1.494,1.503,1.541
