Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.292,0.241,0.299,0.237,0.249,0.342,0.328,0.272,0.296,0.3
BLACK,0.373,0.417,0.368,0.405,0.382,0.389,0.361,0.331,0.361,0.339
HISPANIC,0.652,0.899,0.765,0.716,0.675,0.615,0.651,0.514,0.509,0.565
WHITE,1.089,1.076,1.087,1.092,1.101,1.101,1.103,1.125,1.135,1.135
