,ASIAN,BLACK,HISPANIC,WHITE
2009,0.292,0.373,0.652,1.089
2010,0.241,0.417,0.899,1.076
2011,0.299,0.368,0.765,1.087
2012,0.237,0.405,0.716,1.092
2013,0.249,0.382,0.675,1.101
2014,0.342,0.389,0.615,1.101
2015,0.328,0.361,0.651,1.103
2016,0.272,0.331,0.514,1.125
2017,0.296,0.361,0.509,1.135
2018,0.3,0.339,0.565,1.135
