Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.32,0.346,0.356,0.381,0.318,0.303,0.318,0.347,0.311,0.288
BLACK,0.518,0.583,0.586,0.587,0.515,0.619,0.598,0.569,0.52,0.511
HISPANIC,0.787,0.807,0.754,0.734,0.748,0.735,0.711,0.698,0.653,0.624
WHITE,1.295,1.269,1.273,1.273,1.305,1.29,1.298,1.303,1.342,1.361
