Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.41,0.408,0.435,0.403,0.431,0.426,0.504,0.573,0.444,0.431
BLACK,0.539,0.526,0.498,0.448,0.463,0.468,0.423,0.434,0.441,0.388
HISPANIC,0.595,0.64,0.611,0.613,0.608,0.587,0.57,0.842,0.616,0.684
WHITE,1.08,1.079,1.083,1.091,1.09,1.097,1.097,1.076,1.104,1.112
