Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.245,0.244,0.21,0.189,0.293,0.291,0.269,0.27,0.229,0.232
BLACK,0.32,0.267,0.0,0.254,0.536,0.253,0.268,0.738,0.549,0.689
HISPANIC,0.702,0.703,0.737,0.834,0.98,0.926,1.061,0.897,0.856,0.71
WHITE,1.049,1.051,1.061,1.055,1.038,1.043,1.046,1.05,1.061,1.072
