Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.433,0.41,0.4,0.438,0.432,0.489,0.491,0.546,0.489,0.519
BLACK,0.399,0.445,0.4,0.426,0.449,0.453,0.441,0.409,0.446,0.42
HISPANIC,0.469,0.453,0.72,0.441,0.439,0.464,0.452,0.448,0.436,0.455
WHITE,1.433,1.439,1.396,1.447,1.46,1.436,1.462,1.452,1.511,1.522
