,ASIAN,BLACK,HISPANIC,WHITE
2009,0.599,0.442,0.848,1.048
2010,0.531,0.375,0.677,1.067
2011,0.485,0.425,0.859,1.064
2012,0.449,0.393,0.714,1.076
2013,0.512,0.386,0.642,1.075
2014,0.538,0.451,0.826,1.067
2015,0.528,0.399,0.809,1.075
2016,0.631,0.48,0.793,1.067
2017,0.56,0.49,0.577,1.085
2018,0.523,0.474,0.54,1.098
