Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.599,0.531,0.485,0.449,0.512,0.538,0.528,0.631,0.56,0.523
BLACK,0.442,0.375,0.425,0.393,0.386,0.451,0.399,0.48,0.49,0.474
HISPANIC,0.848,0.677,0.859,0.714,0.642,0.826,0.809,0.793,0.577,0.54
WHITE,1.048,1.067,1.064,1.076,1.075,1.067,1.075,1.067,1.085,1.098
