Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.41,0.419,0.319,0.332,0.357,0.345,0.349,0.542,0.433,0.471
BLACK,0.356,0.324,0.257,0.283,0.285,0.31,0.296,0.338,0.355,0.351
HISPANIC,0.839,0.804,0.769,0.864,0.611,0.461,0.554,0.604,0.604,0.62
WHITE,1.277,1.281,1.328,1.318,1.345,1.378,1.42,1.345,1.39,1.382
