Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.395,0.383,0.396,0.406,0.416,0.427,0.441,0.487,0.497,0.525
BLACK,0.38,0.422,0.408,0.393,0.37,0.416,0.434,0.387,0.39,0.378
HISPANIC,0.545,0.579,0.58,0.557,0.577,0.558,0.638,0.551,0.574,0.551
WHITE,1.264,1.256,1.262,1.267,1.27,1.269,1.26,1.273,1.282,1.288
