Racial/Ethnic_Group,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ASIAN,0.46,0.469,0.306,0.461,0.458,0.358,0.361,0.525,0.447,0.491
BLACK,0.379,0.643,0.0,0.546,0.608,0.311,0.393,0.325,0.407,0.31
HISPANIC,1.097,0.923,0.957,1.0,0.696,0.7,0.494,0.739,0.915,1.027
WHITE,1.015,1.017,1.025,0.993,1.02,1.028,1.029,1.028,1.027,1.027
